Phần,Chương,Số điều,Tiêu đề điều,Nội dung điều,Số khoản,Nội dung khoản,Điểm,Nội dung điểm,full_text,crime_group,crime_category,intent_type,actor,victim,action,consequence,penalty_main,penalty_supplementary,aggravating_circ,mitigating_circ,condition,exception,judicial_measure
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương XII - NHỮNG QUY ĐỊNH ĐỐI VỚI NGƯỜI DƯỚI 18 TUỔI PHẠM TỘI,107.0,Xóa án tích,,1.0,"Người dưới 18 tuổi bị kết án được coi là không có án tích, nếu thuộc một trong các trường hợp sau đây:",c,Người bị áp dụng biện pháp tư pháp quy định tại Mục 3 Chương này.,"Người dưới 18 tuổi bị kết án được coi là không có án tích, nếu thuộc một trong các trường hợp sau đây: Người bị áp dụng biện pháp tư pháp quy định tại Mục 3 Chương này.",NHỮNG QUY ĐỊNH ĐỐI VỚI NGƯỜI DƯỚI 18 TUỔI PHẠM TỘI,Không xác định,Không xác định,Người,Người dưới 18 tuổi,Không xác định,Không xác định,Không xác định,,,,thuộc một trong các trường hợp sau đây: Người bị áp dụng biện pháp tư pháp quy định tại Mục 3 Chương này; Người bị áp dụng biện pháp tư pháp quy định tại Mục 3 Chương này,,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương XII - NHỮNG QUY ĐỊNH ĐỐI VỚI NGƯỜI DƯỚI 18 TUỔI PHẠM TỘI,107.0,Xóa án tích,,2.0,"Người từ đủ 16 tuổi đến dưới 18 tuổi bị kết án về tội phạm rất nghiêm trọng do cố ý hoặc tội phạm đặc biệt nghiêm trọng đương nhiên được xóa án tích nếu từ khi chấp hành xong hình phạt chính hoặc hết thời gian thử thách án treo hoặc từ khi hết thời hiệu thi hành bản án, người đó không thực hiện hành vi phạm tội mới trong thời hạn sau đây:",a,"06 tháng trong trường hợp bị phạt cảnh cáo, phạt tiền, phạt cải tạo không giam giữ hoặc phạt tù nhưng được hưởng án treo;","Người từ đủ 16 tuổi đến dưới 18 tuổi bị kết án về tội phạm rất nghiêm trọng do cố ý hoặc tội phạm đặc biệt nghiêm trọng đương nhiên được xóa án tích nếu từ khi chấp hành xong hình phạt chính hoặc hết thời gian thử thách án treo hoặc từ khi hết thời hiệu thi hành bản án, người đó không thực hiện hành vi phạm tội mới trong thời hạn sau đây: 06 tháng trong trường hợp bị phạt cảnh cáo, phạt tiền, phạt cải tạo không giam giữ hoặc phạt tù nhưng được hưởng án treo;",NHỮNG QUY ĐỊNH ĐỐI VỚI NGƯỜI DƯỚI 18 TUỔI PHẠM TỘI,Tội phạm ít nghiêm trọng,Cố ý,Người,Người khác,Không xác định,Không xác định,Cải tạo không giam giữ; Phạt tiền,,,,"từ khi chấp hành xong hình phạt chính hoặc hết thời gian thử thách án treo hoặc từ khi hết thời hiệu thi hành bản án, người đó không thực hiện hành vi phạm tội mới trong thời hạn sau đây: 06 tháng tro",,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương XII - NHỮNG QUY ĐỊNH ĐỐI VỚI NGƯỜI DƯỚI 18 TUỔI PHẠM TỘI,107.0,Xóa án tích,,2.0,"Người từ đủ 16 tuổi đến dưới 18 tuổi bị kết án về tội phạm rất nghiêm trọng do cố ý hoặc tội phạm đặc biệt nghiêm trọng đương nhiên được xóa án tích nếu từ khi chấp hành xong hình phạt chính hoặc hết thời gian thử thách án treo hoặc từ khi hết thời hiệu thi hành bản án, người đó không thực hiện hành vi phạm tội mới trong thời hạn sau đây:",b,01 năm trong trường hợp bị phạt tù đến 05 năm;,"Người từ đủ 16 tuổi đến dưới 18 tuổi bị kết án về tội phạm rất nghiêm trọng do cố ý hoặc tội phạm đặc biệt nghiêm trọng đương nhiên được xóa án tích nếu từ khi chấp hành xong hình phạt chính hoặc hết thời gian thử thách án treo hoặc từ khi hết thời hiệu thi hành bản án, người đó không thực hiện hành vi phạm tội mới trong thời hạn sau đây: 01 năm trong trường hợp bị phạt tù đến 05 năm;",NHỮNG QUY ĐỊNH ĐỐI VỚI NGƯỜI DƯỚI 18 TUỔI PHẠM TỘI,Tội phạm nghiêm trọng,Cố ý,Người,Người khác,Không xác định,Không xác định,Phạt tù đến 05 năm,,,,"từ khi chấp hành xong hình phạt chính hoặc hết thời gian thử thách án treo hoặc từ khi hết thời hiệu thi hành bản án, người đó không thực hiện hành vi phạm tội mới trong thời hạn sau đây: 01 năm trong",,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương XII - NHỮNG QUY ĐỊNH ĐỐI VỚI NGƯỜI DƯỚI 18 TUỔI PHẠM TỘI,107.0,Xóa án tích,,2.0,"Người từ đủ 16 tuổi đến dưới 18 tuổi bị kết án về tội phạm rất nghiêm trọng do cố ý hoặc tội phạm đặc biệt nghiêm trọng đương nhiên được xóa án tích nếu từ khi chấp hành xong hình phạt chính hoặc hết thời gian thử thách án treo hoặc từ khi hết thời hiệu thi hành bản án, người đó không thực hiện hành vi phạm tội mới trong thời hạn sau đây:",c,02 năm trong trường hợp bị phạt tù từ trên 05 năm đến 15 năm;,"Người từ đủ 16 tuổi đến dưới 18 tuổi bị kết án về tội phạm rất nghiêm trọng do cố ý hoặc tội phạm đặc biệt nghiêm trọng đương nhiên được xóa án tích nếu từ khi chấp hành xong hình phạt chính hoặc hết thời gian thử thách án treo hoặc từ khi hết thời hiệu thi hành bản án, người đó không thực hiện hành vi phạm tội mới trong thời hạn sau đây: 02 năm trong trường hợp bị phạt tù từ trên 05 năm đến 15 năm;",NHỮNG QUY ĐỊNH ĐỐI VỚI NGƯỜI DƯỚI 18 TUỔI PHẠM TỘI,Không xác định,Cố ý,Người,Người khác,Không xác định,Không xác định,Không xác định,,,,"từ khi chấp hành xong hình phạt chính hoặc hết thời gian thử thách án treo hoặc từ khi hết thời hiệu thi hành bản án, người đó không thực hiện hành vi phạm tội mới trong thời hạn sau đây: 02 năm trong",,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương XII - NHỮNG QUY ĐỊNH ĐỐI VỚI NGƯỜI DƯỚI 18 TUỔI PHẠM TỘI,107.0,Xóa án tích,,2.0,"Người từ đủ 16 tuổi đến dưới 18 tuổi bị kết án về tội phạm rất nghiêm trọng do cố ý hoặc tội phạm đặc biệt nghiêm trọng đương nhiên được xóa án tích nếu từ khi chấp hành xong hình phạt chính hoặc hết thời gian thử thách án treo hoặc từ khi hết thời hiệu thi hành bản án, người đó không thực hiện hành vi phạm tội mới trong thời hạn sau đây:",d,03 năm trong trường hợp bị phạt tù trên 15 năm.,"Người từ đủ 16 tuổi đến dưới 18 tuổi bị kết án về tội phạm rất nghiêm trọng do cố ý hoặc tội phạm đặc biệt nghiêm trọng đương nhiên được xóa án tích nếu từ khi chấp hành xong hình phạt chính hoặc hết thời gian thử thách án treo hoặc từ khi hết thời hiệu thi hành bản án, người đó không thực hiện hành vi phạm tội mới trong thời hạn sau đây: 03 năm trong trường hợp bị phạt tù trên 15 năm.",NHỮNG QUY ĐỊNH ĐỐI VỚI NGƯỜI DƯỚI 18 TUỔI PHẠM TỘI,Không xác định,Cố ý,Người,Người khác,Không xác định,Không xác định,Không xác định,,,,"từ khi chấp hành xong hình phạt chính hoặc hết thời gian thử thách án treo hoặc từ khi hết thời hiệu thi hành bản án, người đó không thực hiện hành vi phạm tội mới trong thời hạn sau đây: 03 năm trong",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,108.0,Tội phản bội Tổ quốc,,1.0,"Công dân Việt Nam nào câu kết với nước ngoài nhằm gây nguy hại cho độc lập, chủ quyền, thống nhất và toàn vẹn lãnh thổ của Tổ quốc, chế độ xã hội chủ nghĩa và Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam, tiềm lực quốc phòng, an ninh, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình.",,,"Công dân Việt Nam nào câu kết với nước ngoài nhằm gây nguy hại cho độc lập, chủ quyền, thống nhất và toàn vẹn lãnh thổ của Tổ quốc, chế độ xã hội chủ nghĩa và Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam, tiềm lực quốc phòng, an ninh, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình.",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,Tội phạm đặc biệt nghiêm trọng,Không xác định,Người,Người khác,Không xác định,Không xác định,Tử hình; Phạt tù từ 12 năm đến 20 năm; Tù chung thân,,,,,,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,108.0,Tội phản bội Tổ quốc,,2.0,"Phạm tội trong trường hợp có nhiều tình tiết giảm nhẹ, thì bị phạt tù từ 07 năm đến 15 năm.",,,"Phạm tội trong trường hợp có nhiều tình tiết giảm nhẹ, thì bị phạt tù từ 07 năm đến 15 năm.",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,Tội phạm nghiêm trọng,Không xác định,Người,Người khác,Không xác định,Không xác định,Phạt tù từ 07 năm đến 15 năm,,,,,,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,108.0,Tội phản bội Tổ quốc,,3.0,"Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.",,,"Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,Tội phạm ít nghiêm trọng,Không xác định,Người,Người khác,Không xác định,Không xác định,Phạt tù từ 01 năm đến 05 năm,,,,,,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,109.0,Tội hoạt động nhằm lật đổ chính quyền nhân dân,"Người nào hoạt động thành lập hoặc tham gia tổ chức nhằm lật đổ chính quyền nhân dân, thì bị phạt như sau:",1.0,"Người tổ chức, người xúi giục, người hoạt động đắc lực hoặc gây hậu quả nghiêm trọng, thì bị phạt tù từ 12 năm đến 20 năm hoặc tù chung thân;",,,"Người nào hoạt động thành lập hoặc tham gia tổ chức nhằm lật đổ chính quyền nhân dân, thì bị phạt như sau: Người tổ chức, người xúi giục, người hoạt động đắc lực hoặc gây hậu quả nghiêm trọng, thì bị phạt tù từ 12 năm đến 20 năm hoặc tù chung thân;",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,Tội phạm rất nghiêm trọng,Không xác định,Người,Người khác,Không xác định,Không xác định,Phạt tù từ 12 năm đến 20 năm; Tù chung thân,,,,,,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,109.0,Tội hoạt động nhằm lật đổ chính quyền nhân dân,"Người nào hoạt động thành lập hoặc tham gia tổ chức nhằm lật đổ chính quyền nhân dân, thì bị phạt như sau:",2.0,"Người đồng phạm khác, thì bị phạt tù từ 05 năm đến 12 năm;",,,"Người nào hoạt động thành lập hoặc tham gia tổ chức nhằm lật đổ chính quyền nhân dân, thì bị phạt như sau: Người đồng phạm khác, thì bị phạt tù từ 05 năm đến 12 năm;",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,Tội phạm nghiêm trọng,Không xác định,Người,Người khác,Không xác định,Không xác định,Phạt tù từ 05 năm đến 12 năm,,,,,,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,109.0,Tội hoạt động nhằm lật đổ chính quyền nhân dân,"Người nào hoạt động thành lập hoặc tham gia tổ chức nhằm lật đổ chính quyền nhân dân, thì bị phạt như sau:",3.0,"Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.",,,"Người nào hoạt động thành lập hoặc tham gia tổ chức nhằm lật đổ chính quyền nhân dân, thì bị phạt như sau: Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,Tội phạm ít nghiêm trọng,Không xác định,Người,Người khác,Không xác định,Không xác định,Phạt tù từ 01 năm đến 05 năm,,,,,,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,110.0,Tội gián điệp,,1.0,"Người nào có một trong các hành vi sau đây, thì bị phạt tù từ 12 năm đến 20 năm hoặc tù chung thân:",a,"Hoạt động tình báo, phá hoại hoặc gây cơ sở để hoạt động tình báo, phá hoại chống nước Cộng hòa xã hội chủ nghĩa Việt Nam;","Người nào có một trong các hành vi sau đây, thì bị phạt tù từ 12 năm đến 20 năm hoặc tù chung thân: Hoạt động tình báo, phá hoại hoặc gây cơ sở để hoạt động tình báo, phá hoại chống nước Cộng hòa xã hội chủ nghĩa Việt Nam;",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,Tội phạm rất nghiêm trọng,Không xác định,Người,Người khác,Không xác định,Không xác định,Phạt tù từ 12 năm đến 20 năm; Tù chung thân,,,,,,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,110.0,Tội gián điệp,,1.0,"Người nào có một trong các hành vi sau đây, thì bị phạt tù từ 12 năm đến 20 năm hoặc tù chung thân:",b,"Gây cơ sở để hoạt động tình báo, phá hoại theo sự chỉ đạo của nước ngoài; hoạt động thám báo, chỉ điểm, chứa chấp, dẫn đường hoặc thực hiện hành vi khác giúp người nước ngoài hoạt động tình báo, phá hoại;","Người nào có một trong các hành vi sau đây, thì bị phạt tù từ 12 năm đến 20 năm hoặc tù chung thân: Gây cơ sở để hoạt động tình báo, phá hoại theo sự chỉ đạo của nước ngoài; hoạt động thám báo, chỉ điểm, chứa chấp, dẫn đường hoặc thực hiện hành vi khác giúp người nước ngoài hoạt động tình báo, phá hoại;",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,Tội phạm rất nghiêm trọng,Không xác định,Người,Người khác,Không xác định,Không xác định,Phạt tù từ 12 năm đến 20 năm; Tù chung thân,,,,,,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,110.0,Tội gián điệp,,1.0,"Người nào có một trong các hành vi sau đây, thì bị phạt tù từ 12 năm đến 20 năm hoặc tù chung thân:",c,"Cung cấp hoặc thu thập nhằm cung cấp bí mật nhà nước cho nước ngoài; thu thập, cung cấp tin tức, tài liệu khác nhằm mục đích để nước ngoài sử dụng chống nước Cộng hòa xã hội chủ nghĩa Việt Nam.","Người nào có một trong các hành vi sau đây, thì bị phạt tù từ 12 năm đến 20 năm hoặc tù chung thân: Cung cấp hoặc thu thập nhằm cung cấp bí mật nhà nước cho nước ngoài; thu thập, cung cấp tin tức, tài liệu khác nhằm mục đích để nước ngoài sử dụng chống nước Cộng hòa xã hội chủ nghĩa Việt Nam.",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,Tội phạm rất nghiêm trọng,Không xác định,Người,Người khác,Không xác định,Không xác định,Phạt tù từ 12 năm đến 20 năm; Tù chung thân,,,,,,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,110.0,Tội gián điệp,,2.0,"Phạm tội trong trường hợp ít nghiêm trọng, thì bị phạt tù từ 05 năm đến 15 năm.",,,"Phạm tội trong trường hợp ít nghiêm trọng, thì bị phạt tù từ 05 năm đến 15 năm.",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,Tội phạm nghiêm trọng,Không xác định,Người,Người khác,Không xác định,Không xác định,Phạt tù từ 05 năm đến 15 năm,,,,,,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,110.0,Tội gián điệp,,3.0,"Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.",,,"Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,Tội phạm ít nghiêm trọng,Không xác định,Người,Người khác,Không xác định,Không xác định,Phạt tù từ 01 năm đến 05 năm,,,,,,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,110.0,Tội gián điệp,,4.0,"Người đã nhận làm gián điệp, nhưng không thực hiện nhiệm vụ được giao và tự thú, thành khẩn khai báo với cơ quan nhà nước có thẩm quyền, thì được miễn trách nhiệm hình sự về tội này.",,,"Người đã nhận làm gián điệp, nhưng không thực hiện nhiệm vụ được giao và tự thú, thành khẩn khai báo với cơ quan nhà nước có thẩm quyền, thì được miễn trách nhiệm hình sự về tội này.",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,Không xác định,Không xác định,Người,Người khác,Không xác định,Không xác định,Không xác định,,,,,,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,111.0,Tội xâm phạm an ninh lãnh thổ,"Người nào xâm nhập lãnh thổ, có hành động làm sai lệch đường biên giới quốc gia hoặc có hành động khác nhằm gây phương hại cho an ninh lãnh thổ của nước Cộng hòa xã hội chủ nghĩa Việt Nam, thì bị phạt như sau:",1.0,"Người tổ chức, người hoạt động đắc lực hoặc gây hậu quả nghiêm trọng, thì bị phạt tù từ 12 năm đến 20 năm hoặc tù chung thân;",,,"Người nào xâm nhập lãnh thổ, có hành động làm sai lệch đường biên giới quốc gia hoặc có hành động khác nhằm gây phương hại cho an ninh lãnh thổ của nước Cộng hòa xã hội chủ nghĩa Việt Nam, thì bị phạt như sau: Người tổ chức, người hoạt động đắc lực hoặc gây hậu quả nghiêm trọng, thì bị phạt tù từ 12 năm đến 20 năm hoặc tù chung thân;",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,Tội phạm rất nghiêm trọng,Không xác định,Người,Người khác,Không xác định,Không xác định,Phạt tù từ 12 năm đến 20 năm; Tù chung thân,,,,,,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,111.0,Tội xâm phạm an ninh lãnh thổ,"Người nào xâm nhập lãnh thổ, có hành động làm sai lệch đường biên giới quốc gia hoặc có hành động khác nhằm gây phương hại cho an ninh lãnh thổ của nước Cộng hòa xã hội chủ nghĩa Việt Nam, thì bị phạt như sau:",2.0,"Người đồng phạm khác, thì bị phạt tù từ 05 năm đến 15 năm;",,,"Người nào xâm nhập lãnh thổ, có hành động làm sai lệch đường biên giới quốc gia hoặc có hành động khác nhằm gây phương hại cho an ninh lãnh thổ của nước Cộng hòa xã hội chủ nghĩa Việt Nam, thì bị phạt như sau: Người đồng phạm khác, thì bị phạt tù từ 05 năm đến 15 năm;",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,Tội phạm nghiêm trọng,Không xác định,Người,Người khác,Không xác định,Không xác định,Phạt tù từ 05 năm đến 15 năm,,,,,,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,111.0,Tội xâm phạm an ninh lãnh thổ,"Người nào xâm nhập lãnh thổ, có hành động làm sai lệch đường biên giới quốc gia hoặc có hành động khác nhằm gây phương hại cho an ninh lãnh thổ của nước Cộng hòa xã hội chủ nghĩa Việt Nam, thì bị phạt như sau:",3.0,"Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.",,,"Người nào xâm nhập lãnh thổ, có hành động làm sai lệch đường biên giới quốc gia hoặc có hành động khác nhằm gây phương hại cho an ninh lãnh thổ của nước Cộng hòa xã hội chủ nghĩa Việt Nam, thì bị phạt như sau: Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,Tội phạm ít nghiêm trọng,Không xác định,Người,Người khác,Không xác định,Không xác định,Phạt tù từ 01 năm đến 05 năm,,,,,,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,112.0,Tội bạo loạn,"Người nào hoạt động vũ trang hoặc dùng bạo lực có tổ chức hoặc cướp phá tài sản của cơ quan, tổ chức, cá nhân nhằm chống chính quyền nhân dân, thì bị phạt như sau:",1.0,"Người tổ chức, người hoạt động đắc lực hoặc gây hậu quả nghiêm trọng, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình;",,,"Người nào hoạt động vũ trang hoặc dùng bạo lực có tổ chức hoặc cướp phá tài sản của cơ quan, tổ chức, cá nhân nhằm chống chính quyền nhân dân, thì bị phạt như sau: Người tổ chức, người hoạt động đắc lực hoặc gây hậu quả nghiêm trọng, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình;",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,Tội phạm đặc biệt nghiêm trọng,Không xác định,Người,Người khác,Không xác định,Không xác định,Tử hình; Phạt tù từ 12 năm đến 20 năm; Tù chung thân,,Có tổ chức,,,,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,112.0,Tội bạo loạn,"Người nào hoạt động vũ trang hoặc dùng bạo lực có tổ chức hoặc cướp phá tài sản của cơ quan, tổ chức, cá nhân nhằm chống chính quyền nhân dân, thì bị phạt như sau:",2.0,"Người đồng phạm khác, thì bị phạt tù từ 05 năm đến 15 năm;",,,"Người nào hoạt động vũ trang hoặc dùng bạo lực có tổ chức hoặc cướp phá tài sản của cơ quan, tổ chức, cá nhân nhằm chống chính quyền nhân dân, thì bị phạt như sau: Người đồng phạm khác, thì bị phạt tù từ 05 năm đến 15 năm;",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,Tội phạm nghiêm trọng,Không xác định,Người,Người khác,Không xác định,Không xác định,Phạt tù từ 05 năm đến 15 năm,,Có tổ chức,,,,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,112.0,Tội bạo loạn,"Người nào hoạt động vũ trang hoặc dùng bạo lực có tổ chức hoặc cướp phá tài sản của cơ quan, tổ chức, cá nhân nhằm chống chính quyền nhân dân, thì bị phạt như sau:",3.0,"Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.",,,"Người nào hoạt động vũ trang hoặc dùng bạo lực có tổ chức hoặc cướp phá tài sản của cơ quan, tổ chức, cá nhân nhằm chống chính quyền nhân dân, thì bị phạt như sau: Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,Tội phạm ít nghiêm trọng,Không xác định,Người,Người khác,Không xác định,Không xác định,Phạt tù từ 01 năm đến 05 năm,,Có tổ chức,,,,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,113.0,Tội khủng bố nhằm chống chính quyền nhân dân,,1.0,"Người nào nhằm chống chính quyền nhân dân mà xâm phạm tính mạng của cán bộ, công chức hoặc người khác hoặc phá hủy tài sản của cơ quan, tổ chức, cá nhân, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình.",,,"Người nào nhằm chống chính quyền nhân dân mà xâm phạm tính mạng của cán bộ, công chức hoặc người khác hoặc phá hủy tài sản của cơ quan, tổ chức, cá nhân, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình.",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,Tội phạm đặc biệt nghiêm trọng,Không xác định,Người,Người khác,Không xác định,Không xác định,Tử hình; Phạt tù từ 12 năm đến 20 năm; Tù chung thân,,,,,,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,113.0,Tội khủng bố nhằm chống chính quyền nhân dân,,2.0,"Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 10 năm đến 15 năm:",a,"Thành lập, tham gia tổ chức khủng bố, tổ chức tài trợ khủng bố;","Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 10 năm đến 15 năm: Thành lập, tham gia tổ chức khủng bố, tổ chức tài trợ khủng bố;",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,Tội phạm rất nghiêm trọng,Không xác định,Người,Người khác,Không xác định,Không xác định,Phạt tù từ 10 năm đến 15 năm,,,,,,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,113.0,Tội khủng bố nhằm chống chính quyền nhân dân,,2.0,"Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 10 năm đến 15 năm:",b,"Cưỡng ép, lôi kéo, tuyển mộ, đào tạo, huấn luyện phần tử khủng bố; chế tạo, cung cấp vũ khí cho phần tử khủng bố;","Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 10 năm đến 15 năm: Cưỡng ép, lôi kéo, tuyển mộ, đào tạo, huấn luyện phần tử khủng bố; chế tạo, cung cấp vũ khí cho phần tử khủng bố;",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,Tội phạm rất nghiêm trọng,Không xác định,Người,Người khác,Không xác định,Không xác định,Phạt tù từ 10 năm đến 15 năm,,,,,,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,113.0,Tội khủng bố nhằm chống chính quyền nhân dân,,2.0,"Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 10 năm đến 15 năm:",c,"Xâm phạm tự do thân thể, sức khỏe của cán bộ, công chức hoặc người khác; chiếm giữ, làm hư hại tài sản của cơ quan, tổ chức, cá nhân;","Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 10 năm đến 15 năm: Xâm phạm tự do thân thể, sức khỏe của cán bộ, công chức hoặc người khác; chiếm giữ, làm hư hại tài sản của cơ quan, tổ chức, cá nhân;",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,Tội phạm rất nghiêm trọng,Không xác định,Người,Người khác,Không xác định,Không xác định,Phạt tù từ 10 năm đến 15 năm,,,,,,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,113.0,Tội khủng bố nhằm chống chính quyền nhân dân,,2.0,"Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 10 năm đến 15 năm:",d,"Tấn công, xâm hại, cản trở, gây rối loạn hoạt động của mạng máy tính, mạng viễn thông, phương tiện điện tử của cơ quan, tổ chức, cá nhân.","Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 10 năm đến 15 năm: Tấn công, xâm hại, cản trở, gây rối loạn hoạt động của mạng máy tính, mạng viễn thông, phương tiện điện tử của cơ quan, tổ chức, cá nhân.",CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,Tội phạm rất nghiêm trọng,Không xác định,Người,Người khác,Không xác định,Không xác định,Phạt tù từ 10 năm đến 15 năm,,,,,,
